BoilerID,BoilerType,Capacity,ImprovementTech,LifeTime,FuelName,FuelType,Burner,SteamRate[kg/hr],SteamPressure[bara],TDS_feedWater[ppm],TDS_blowdown[ppm],FlueGasTemp[`C],O2[%],CO[ppm],CO2[%],FeedWaterRate[kg/hr],BlowdownRate[kg/hr],FeedWaterTemp[`C],FuelFlowRate_aft[kg/hr],HHV_AR[kJ/kg],???????????
10621-0019-1,water tube,4,,10,????,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,3867.978736,11,14.96,1392,222.7,9.9,56.3,10.9,3910,42.02126437,91,900,15293.00102,YES
10132-0005-1,fire tube,3,"Economizer, ????????????????????",15,LPG,Gas, ???????????????????? (Nozzle-mix burner) ,1220.47,8.5,382,4032,223.6,3.5,25,9.94,1348.2,127.73125,92,67.56,50150,YES
10120-0017-1,fire tube,12,????????????????????,19,LPG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,3600,8.3,463,4098,194.84,5.86,0,15.14,,704,102.86,196.97,50150,YES
30911-0005-1,once through,1,????????????????????,11,LPG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,341.4090909,7.01,96,1650,203.6,5,50,10.5,362.5,21.09090909,60,19.95,50150,NO
13132-1001-1,fire tube,12,????????????????????,20,?????????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,2624.83,8.2,41,3520,167.2,14,140,14.9,2655.76,30.93356818,72,538.33,13926.472,NO
10420-1002-1,water tube,35,"Air Heater, ????????????????????",14,??????????/???????????,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,20182.91,30,36,2402,189,15,151.66,5.8,20490,307.0940883,105,11070,16224.1,NO
10802-1021-2,hybrid,20,"Economizer, ????????????????????",4,???????,Solid,  overfeed stoker (Step/pushing/dumping Grate Stoker),10365,8.48,150,1595,205.8,10.72,98.99,,10652.62,1001.813793,97.9,1503,21189.9964,YES
13113-0013-1,once through,6,Economizer,1,????????????,Gas, ???????????????????? (Nozzle-mix burner) ,3858.33,18.78,20.25,958,84.81,4.8,2.29,,3901.02,82.45893006,40.9,245.87,49989,YES
13113-0013-2,once through,6,Economizer,1,????????????,Gas, ???????????????????? (Nozzle-mix burner) ,3320.37,18.55,20.25,1740,85.58,4.62,1.8,,3416.17,39.75715086,41,218.47,49989,YES
11011-0013-2,fire tube,10.6,????????????????????,34,Use oil,Liquid,??????????????????? (Pressure Atomized)  ,2487.735849,7.01,13,2650,179.5,2.5,20,13.91,2500,12.26415094,105,164,41499.56,NO
11011-0013-3,fire tube,3.9,????????????????????,34,Biogas,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,924.9666944,7.01,13,2402,172.6,2,11,10.76,930,5.033305579,105,143.7,20358,YES
20113-0023-1,water tube,40,Economizer,16,????????????,Gas, ???????????????????? (Nozzle-mix burner) ,12074.47,14,14.7,61.3,143,6.3,7.4,8.3,12454,2986.522023,85,738.48,46453.76,YES
20113-0023-2,water tube,40,Economizer,16,????????????,Gas, ???????????????????? (Nozzle-mix burner) ,20348,14,14.7,58.4,151.9,4.8,7.8,9.2,20858,5250.215753,85,1263,46453.76,YES
20113-0023-3,water tube,40,Economizer,16,????????????,Gas, ???????????????????? (Nozzle-mix burner) ,21556,14,14.7,58.5,152.4,4.8,12.3,9.2,22025,5534.487179,85,1267,46453.76,NO
20232-1007-1,fire tube,4,Economizer,5,????????????,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,679.8189742,6.01,86,2983,176,4.4,17,9,700,20.18102581,80,60,37200,NO
10221-0006-1,fire tube,10.5,,12,???????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,5153.301887,9.2,275,2650,210.6,7,3702,12.7,5750,596.6981132,115,800,22026.64462,NO
10221-0006-2,fire tube,10.5,,12,???????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,5265.303386,9.13,275,2983,214,6.4,6598,13.8,5800,534.6966141,115,700,22026.64462,YES
10221-0006-3,fire tube,10.5,,7,???????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,6049.528302,9.27,275,2650,213.5,6.4,365,13.2,6750,700.4716981,115,900,22026.64462,NO
